Cluster,Score,Type,Gene,Symbol,Network
1,2.5,Clustered,4635,MYL4,LN_meta_SUB1
1,2.5,Clustered,72,ACTG2,LN_meta_SUB1
1,2.5,Seed,4624,MYH6,LN_meta_SUB1
1,2.5,Clustered,4629,MYH11,LN_meta_SUB1
1,2.5,Clustered,4626,MYH8,LN_meta_SUB1
1,2.5,Clustered,4634,MYL3,LN_meta_SUB1
2,1.5,Clustered,387129,NPSR1,LN_meta_SUB1
2,1.5,Clustered,65003,MRPL11,LN_meta_SUB1
2,1.5,Seed,219537,SMTNL1,LN_meta_SUB1
2,1.5,Clustered,6132,RPL8,LN_meta_SUB1
1,1.0,Clustered,796,CALCA,N0_SUB6
1,1.0,Seed,2691,GHRH,N0_SUB6
1,1.0,Clustered,7253,TSHR,N0_SUB6
